Gene_stable_ID	Gene_name	Gene_description
PRELSG_10_v1	""	eukaryotic translation initiation factor 3 subunit E%2C putative
PRELSG_06_v1	""	ookinete surface protein P25%2C putative
PRELSG_11_v1	""	RNA and export factor binding protein%2C putative
PRELSG_12_v1	""	AMP deaminase%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	signal recognition particle subunit SRP14%2C putative
PRELSG_00_v1_archived_contig_95	""	tRNA Tryptophan
PRELSG_14_v1	""	RNA-binding protein%2C putative
PRELSG_14_v1	""	zinc finger protein%2C putative
PRELSG_04_v1	""	conserved protein%2C unknown function
PRELSG_00_v1_archived_contig_95	""	HSP20-like chaperone%2C putative
PRELSG_14_v1	""	ATP-dependent RNA helicase RS1%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	6-cysteine protein%2C putative%2C pseudogene
PRELSG_12_v1	""	replication factor C subunit 3%2C putative
PRELSG_08_v1	""	regulator of initiation factor 2%2C putative
PRELSG_14_v1	""	SUMO-activating enzyme subunit 2%2C putative
PRELSG_07_v1	""	BS-domain protein%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	tRNA Leucine
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Apicomplexan protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	UMP-CMP kinase%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	zinc finger protein%2C putative
PRELSG_04_v1	""	conserved protein%2C unknown function
PRELSG_06_v1	""	AP/ATP transporter on adenylate translocase%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	trafficking protein particle complex subunit 4%2C putative
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	exoribonuclease %2C putative
PRELSG_01_v1	""	periodic tryptophan protein 2%2C putative
PRELSG_11_v1	""	T-complex protein 1 subunit delta%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	SAP domain-containing protein%2C putative
PRELSG_AP_v1	""	tRNA Glutamic acid
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	tRNA Alanine
PRELSG_10_v1	""	tRNA Leucine
PRELSG_13_v1	""	serine/threonine protein phosphatase CPPE1%2C putative
PRELSG_12_v1	""	zinc finger protein%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	ubiquitin fusion degradation protein 1%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	ATP-dependent RNA helicase X51%2C putative
PRELSG_11_v1	""	mitochondrial import receptor subunit TOM40%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	hypothetical protein
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	30S ribosomal protein S9%2C putative
PRELSG_99_v2_archived_contig_4	""	fam-h protein
PRELSG_14_v1	""	AP2 domain transcription factor%2C putative
PRELSG_13_v1	""	cytidine diphosphate-diacylglycerol synthase%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_73	""	hypothetical protein
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	transcription initiation factor E subunit alpha%2C putative
PRELSG_00_v1_archived_contig_79	""	surface-associated interspersed protein (SURFN)
PRELSG_07_v1	""	hypothetical protein%2C pseudogene
PRELSG_05_v1	""	MOLO1 domain-containing protein%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	RNA-binding protein%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	protein disulfide isomerase%2C putative
PRELSG_00_v1_archived_contig_138	""	reticulocyte binding protein%2C putative
PRELSG_14_v1	""	acyl-CoA synthetase%2C putative
PRELSG_09_v1	""	60S ribosomal protein P0%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_99_v2_archived_contig_2	""	surface-associated interspersed protein (SURFN)
PRELSG_12_v1	""	conserved protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	serine/threonine protein kinase%2C putative
PRELSG_09_v1	""	methyltransferase%2C putative
PRELSG_09_v1	""	AP-4 complex subunit mu%2C putative
PRELSG_05_v1	""	apical merozoite protein%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_49	""	hypothetical protein
PRELSG_12_v1	""	GP mannosyltransferase 3%2C putative
PRELSG_12_v1	""	protein SOC3%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	UP-galactose transporter%2C putative
PRELSG_00_v1_archived_contig_429	""	cytoadherence linked asexual protein%2C putative
PRELSG_09_v1	""	metabolite/drug transporter%2C putative
PRELSG_00_v1_archived_contig_97	""	Plasmodium exported protein%2C unknown function
PRELSG_12_v1	""	glyceraldehyde-3-phosphate dehydrogenase%2C putative
PRELSG_07_v1	""	NA-directed RNA polymerase  subunit RPB3%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	hypothetical protein
PRELSG_14_v1	""	amino acid transporter%2C putative
PRELSG_04_v1	""	rRNA methyltransferase%2C putative
PRELSG_00_v1_archived_contig_278	""	surface-associated interspersed protein (SURFN)
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	W repeat-containing protein%2C putative
PRELSG_12_v1	""	ethanolamine-phosphate cytidylyltransferase%2C putative
PRELSG_14_v1	""	inositol polyphosphate kinase%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	polypyrimidine tract-binding protein%2C putative
PRELSG_04_v1	""	patatin-like phospholipase%2C putative
PRELSG_00_v1_archived_contig_167	""	surface-associated interspersed protein (SURFN)%2C pseudogene
PRELSG_13_v1	""	conserved Plasmodium membrane protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_AP_v1	""	NA-directed RNA polymerase subunit beta'%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_174	""	reticulocyte binding protein%2C putative%2C pseudogene
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	regulator of chromosome condensation%2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	N-acetyltransferase%2C GNAT family%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	coatomer subunit gamma%2C putative
PRELSG_12_v1	""	calcium-dependent protein kinase 5%2C putative
PRELSG_07_v1	""	nucleoporin NUP100/NSP100%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	histone H3-like centromeric protein CSE4%2C putative
PRELSG_07_v1	""	histidine--tRNA ligase%2C putative
PRELSG_14_v1	""	methionyl-tRNA formyltransferase%2C putative
PRELSG_07_v1	""	V-type proton ATPase subunit E%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	W repeat-containing protein%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	RNG zinc finger protein%2C putative
PRELSG_00_v1_archived_contig_297	""	hypothetical protein%2C pseudogene
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	protein phosphatase PPM5%2C putative
PRELSG_05_v1	""	mediator of RNA polymerase  transcription subunit 7%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	pre-mRNA-processing factor 19%2C putative
PRELSG_14_v1	""	phosphodiesterase gamma%2C putative
PRELSG_01_v1	""	peptidyl-prolyl cis-trans isomerase%2C putative
PRELSG_14_v1	""	splicing factor 3B subunit 3%2C putative
PRELSG_04_v1	""	dynein light chain%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	U6 snRNA-associated Sm-like protein LSm3%2C putative
PRELSG_08_v1	""	CWC16 domain-containing protein%2C putative
PRELSG_00_v1_archived_contig_102	""	early transcribed membrane protein
PRELSG_04_v1	""	repetitive organellar protein%2C putative
PRELSG_00_v1_archived_contig_12	""	surface-associated interspersed protein (SURFN)%2C pseudogene
PRELSG_AP_v1	""	30S ribosomal protein S2%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	pre-mRNA-splicing helicase BRR2%2C putative
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	CPW-WPC family protein
PRELSG_07_v1	""	cytochrome b5-like heme/steroid binding protein%2C putative
PRELSG_12_v1	""	LCCL domain-containing protein
PRELSG_09_v1	""	26S proteasome regulatory subunit RPN7%2C putative
PRELSG_02_v1	""	dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit A1%2C putative
PRELSG_08_v1	""	tetratricopeptide repeat protein%2C putative
PRELSG_04_v1	""	40S ribosomal protein S30%2C putative
PRELSG_13_v1	""	ankyrin-repeat protein%2C putative
PRELSG_14_v1	""	citrate/oxoglutarate carrier protein%2C putative
PRELSG_09_v1	""	major facilitator superfamily protein%2C putative
PRELSG_12_v1	""	GP transamidase subunit PG-U%2C putative
PRELSG_03_v1	""	tRNA Serine
PRELSG_12_v1	""	OPA3-like protein%2C putative
PRELSG_13_v1	""	inner membrane complex protein 1l%2C putative
PRELSG_14_v1	""	GTPase%2C putative
PRELSG_00_v1_archived_contig_31	""	Plasmodium exported protein%2C unknown function
PRELSG_05_v1	""	conserved protein%2C unknown function
PRELSG_05_v1	""	60S ribosomal protein L15%2C putative
PRELSG_13_v1	""	dynein light chain%2C putative
PRELSG_14_v1	""	CCR4-NOT transcription complex subunit 4%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	erythrocyte membrane-associated antigen%2C putative
PRELSG_11_v1	""	nucleolar GTP-binding protein 1%2C putative
PRELSG_08_v1	""	zinc finger protein%2C putative
PRELSG_AP_v1	""	tRNA Methionine
PRELSG_09_v1	""	ribosome biogenesis regulatory protein%2C putative
PRELSG_12_v1	""	protein BCP1%2C putative
PRELSG_14_v1	""	pre-mRNA-splicing factor RBM22%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	multiprotein-bridging factor 1%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_92	""	hypothetical protein
PRELSG_AP_v1	""	hypothetical chloroplast reading frame 93%2C putative
PRELSG_12_v1	""	dynactin subunit 4%2C putative
PRELSG_00_v1_archived_contig_200	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	ubiquitin-conjugating enzyme E2%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	rhoptry protein%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	GTP:AMP phosphotransferase%2C putative
PRELSG_10_v1	""	aspartate--tRNA ligase%2C putative
PRELSG_00_v1_archived_contig_72	""	Plasmodium exported protein%2C unknown function
PRELSG_00_v1_archived_contig_434	""	Plasmodium exported protein%2C unknown function
PRELSG_04_v1	""	tetratricopeptide repeat protein%2C putative
PRELSG_12_v1	""	tRNA Lysine
PRELSG_12_v1	""	AP-ribosylation factor%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_184	""	PR-like protein
PRELSG_11_v1	""	protease%2C putative
PRELSG_13_v1	""	lipase%2C putative
PRELSG_14_v1	""	tripartite motif protein%2C putative
PRELSG_05_v1	""	mitochondrial ribosomal protein L4 precursor%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	armadillo repeat protein PF16%2C putative
PRELSG_09_v1	""	condensin-2 complex subunit 3%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	U5 small nuclear ribonucleoprotein 40 ka protein%2C putative
PRELSG_10_v1	""	ubiquitin carboxyl-terminal hydrolase 14%2C putative
PRELSG_07_v1	""	cytosolic Fe-S cluster assembly factor NBP35%2C putative
PRELSG_05_v1	""	U4/U6.U5 small nuclear ribonucleoprotein%2C putative
PRELSG_14_v1	""	carbamoyl phosphate synthetase%2C putative
PRELSG_11_v1	""	geranylgeranyl transferase type-2 subunit beta%2C putative
PRELSG_07_v1	""	PPPE peptidase%2C putative
PRELSG_06_v1	""	rRNA (cytosine-C(5))-methyltransferase%2C putative
PRELSG_12_v1	""	NA-directed RNA polymerase  subunit RPC4%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_410	""	early transcribed membrane protein
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	glycerophosphodiester phosphodiesterase%2C putative
PRELSG_13_v1	""	nucleoside transporter 2%2C putative
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_03_v1	""	calcium-dependent protein kinase 4%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	histone acetyltransferase%2C putative
PRELSG_00_v1_archived_contig_15	""	hypothetical protein
PRELSG_08_v1	""	P-loop containing nucleoside triphosphate hydrolase%2C putative
PRELSG_11_v1	""	pyrroline-5-carboxylate reductase%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	ribulose-phosphate 3-epimerase%2C putative
PRELSG_14_v1	""	ATP synthase subunit beta%2C mitochondrial%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	eukaryotic translation initiation factor eF2A%2C putative
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	60S ribosomal protein L26%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	NA mismatch repair protein%2C putative
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	early transcribed membrane protein
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	antigen UB05%2C putative
PRELSG_06_v1	""	centrin-3%2C putative
PRELSG_11_v1	""	mitochondrial import inner membrane translocase subunit TM22%2C putative
PRELSG_02_v1	""	actin-related protein
PRELSG_13_v1	""	U6 snRNA-associated Sm-like protein LSm8%2C putative
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	exportin-7%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	histone H3%2C putative
PRELSG_00_v1_archived_contig_143	""	surface-associated interspersed protein (SURFN)%2C pseudogene
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	rRNA (cytosine-C(5))-methyltransferase%2C putative
PRELSG_05_v1	""	mitochondrial import receptor subunit TOM7%2C putative
PRELSG_10_v1	""	apical rhoptry neck protein%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_05_v1	""	dynein light chain 1%2C putative
PRELSG_00_v1_archived_contig_86	""	fam-h protein
PRELSG_09_v1	""	carbonic anhydrase%2C putative
PRELSG_99_v2_archived_contig_23	""	early transcribed membrane protein
PRELSG_11_v1	""	AP-ribosylation factor%2C putative
PRELSG_01_v1	""	kinesin-like protein%2C putative
PRELSG_11_v1	""	rhomboid protease ROM7%2C putative
PRELSG_04_v1	""	protein YOP1%2C putative
PRELSG_00_v1_archived_contig_45	""	fam-f protein
PRELSG_06_v1	""	CGSH iron-sulfur domain-containing protein%2C putative
PRELSG_12_v1	""	phosphatidylinositol transfer protein%2C putative
PRELSG_00_v1_archived_contig_94	""	reticulocyte binding protein%2C putative
PRELSG_13_v1	""	pre-mRNA-splicing factor 38B%2C putative
PRELSG_09_v1	""	tRNA m5C-methyltransferase%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_12_v1	""	NA-directed RNA polymerase  subunit RPC5%2C putative
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	phosphatidylinositol N-acetylglucosaminyltransferase subunit H%2C putative
PRELSG_13_v1	""	leucine-rich repeat protein
PRELSG_14_v1	""	GAS8-like protein%2C putative
PRELSG_09_v1	""	peptidyl-prolyl cis-trans isomerase%2C putative
PRELSG_13_v1	""	NA replication licensing factor MCM2%2C putative
PRELSG_00_v1_archived_contig_340	""	hypothetical protein
PRELSG_11_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	asparagine-rich protein%2C putative
PRELSG_14_v1	""	parasitophorous vacuolar protein 2%2C putative
PRELSG_10_v1	""	methionine aminopeptidase 1a%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved protein%2C unknown function
PRELSG_13_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_09_v1	""	autophagy-related protein 7%2C putative
PRELSG_07_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_01_v1	""	AAA family ATPase%2C putative
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_07_v1	""	reticulocyte binding protein%2C putative
PRELSG_06_v1	""	biotin--protein ligase 1%2C putative
PRELSG_05_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_02_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_61	""	Plasmodium exported protein%2C unknown function
PRELSG_11_v1	""	ubiquitin-conjugating enzyme E2%2C putative
PRELSG_13_v1	""	protein SEY1%2C putative
PRELSG_08_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_00_v1_archived_contig_197	""	hypothetical protein
PRELSG_12_v1	""	eukaryotic translation initiation factor 2-alpha kinase 1%2C putative
PRELSG_14_v1	""	V-type proton ATPase subunit H%2C putative
PRELSG_00_v1_archived_contig_71	""	hypothetical protein
PRELSG_10_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	cell traversal protein for ookinetes and sporozoites%2C putative
PRELSG_04_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_AP_v1	""	tRNA soleucine
PRELSG_09_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_11_v1	""	cytoplasmic tRNA 2-thiolation protein 1%2C putative
PRELSG_13_v1	""	enoyl-CoA hydratase%2C putative
PRELSG_07_v1	""	profilin%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_10_v1	""	zinc finger protein%2C putative
PRELSG_14_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_06_v1	""	conserved Plasmodium protein%2C unknown function
PRELSG_14_v1	""	pre-mRNA-splicing factor SYF1%2C putative
PRELSG_04_v1	""	hexose transporter%2C putative
